rule_id,object,tags,specification,clause,test_number,description,test,message,user_friendly_message
ISO_14289_1-5.1,MainXMPPackage,metadata,ISO_14289_1,5,1,The PDF/UA version and conformance level of a file shall be specified using the PDF/UA Identification extension schema,containsPDFUAIdentification == true,The document metadata stream doesn't contain PDF/UA Identification Schema,"This PDF is missing a special label that tells assistive technologies (like screen readers) that it's designed to be accessible. Without this identification, accessibility tools may not know to treat the document as accessible, which could result in a poor experience for people with disabilities who rely on these features."
ISO_14289_1-5.2,PDFUAIdentification,metadata,ISO_14289_1,5,2,"The value of ""pdfuaid:part"" shall be the part number of the International Standard to which the file conforms",part == 1,"The ""part"" property of the PDF/UA Identification Schema is %1 instead of 1 for PDF/UA-1 conforming file","This PDF claims to follow an unrecognized version of the accessibility standard. It should be marked as following PDF/UA-1 (the current standard), but it's labeled with a different version number, which means accessibility tools may not be able to properly interpret and present the document's content to users with disabilities."
ISO_14289_1-5.3,PDFUAIdentification,metadata,ISO_14289_1,5,3,"Property ""part"" of the PDF/UA Identification Schema shall have namespace prefix ""pdfuaid""","partPrefix == null || partPrefix == ""pdfuaid""","Property ""part"" of the PDF/UA Identification Schema has invalid namespace prefix %1","The accessibility label in this PDF uses the wrong formatting code, making it unreadable to assistive technologies. This is like writing an address with the wrong format—the information might be there, but systems can't find or use it properly to help people with disabilities access the content."
ISO_14289_1-5.4,PDFUAIdentification,metadata,ISO_14289_1,5,4,"Property ""amd"" of the PDF/UA Identification Schema shall have namespace prefix ""pdfuaid""","amdPrefix == null || amdPrefix == ""pdfuaid""","Property ""amd"" of the PDF/UA Identification Schema has invalid namespace prefix %1","The accessibility amendment information in this PDF is labeled incorrectly, preventing assistive technologies from understanding which version of the accessibility standard the document follows. This formatting error means accessibility tools may not apply the correct rules when helping users with disabilities navigate the content."
ISO_14289_1-5.5,PDFUAIdentification,metadata,ISO_14289_1,5,5,"Property ""corr"" of the PDF/UA Identification Schema shall have namespace prefix ""pdfuaid""","corrPrefix == null || corrPrefix == ""pdfuaid""","Property ""corr"" of the PDF/UA Identification Schema has invalid namespace prefix %1","The accessibility correction information in this PDF is formatted incorrectly, which prevents assistive technologies from properly identifying the specific accessibility standard version being used. This mislabeling could cause accessibility tools to misinterpret how to best present the document to users with disabilities."
ISO_14289_1-6.1.1,CosDocument,syntax,ISO_14289_1,6.1,1,"The file header shall consist of ""%PDF-1.n"" followed by a single EOL marker, where 'n' is a single digit number between 0 (30h) and 7 (37h)",/^%PDF-1\.[0-7]$/.test(header),"File header %1 does not match the pattern %PDF-1.n, where 'n' is a single digit number between 0 and 7","This file's opening identifier is improperly formatted or uses an unsupported PDF version. Like a book with a damaged cover, assistive technologies may not recognize this as a valid PDF document, preventing users with disabilities from accessing any of its content."
ISO_14289_1-6.2.1,CosDocument,syntax,ISO_14289_1,6.2,1,"The document catalog dictionary shall include a MarkInfo dictionary containing an entry, Marked, whose value shall be true",Marked == true,"MarkInfo dictionary is not present in the document catalog, or Marked entry is set to false or is not present in the MarkInfo dictionary (MarkInfo = %1, Marked = %2)","This PDF is missing essential markers that tell assistive technologies how the content is structured (like headings, paragraphs, and lists). Without these markers, screen readers and other accessibility tools can't properly navigate or read the document aloud, making it extremely difficult for people with visual impairments to use."
ISO_14289_1-7.1.1,SEMarkedContent,artifact,ISO_14289_1,7.1,1,Content marked as Artifact should not be present inside tagged content,tag != 'Artifact' || isTaggedContent == false,Content marked as Artifact is present inside tagged content (parent struct element %1),"This PDF has decorative elements (like background images or design flourishes) incorrectly mixed in with the actual content structure. This confuses screen readers, which may announce these decorative items as if they were important content, creating a cluttered and confusing experience for users with visual impairments."
ISO_14289_1-7.1.2,SEMarkedContent,artifact,ISO_14289_1,7.1,2,Tagged content should not be present inside content marked as Artifact,isTaggedContent == false || parentsTags.contains('Artifact') == false,Tagged content (parent struct element %1) is present inside content marked as Artifact,"This PDF has important content incorrectly labeled as decorative background elements. Screen readers will skip over this content entirely, meaning users with visual impairments won't hear or access information that should be available to them."
ISO_14289_1-7.1.3,SESimpleContentItem,artifact,ISO_14289_1,7.1,3,Content shall be marked as Artifact or tagged as real content,isTaggedContent == true || parentsTags.contains('Artifact') == true,Content is neither marked as Artifact nor tagged as real content,"This PDF contains content that isn't labeled as either meaningful information or decorative background. Without proper labeling, assistive technologies can't determine whether to present this content to users with disabilities, potentially causing them to miss important information or hear confusing, out-of-context fragments."
ISO_14289_1-7.1.4,CosDocument,syntax,ISO_14289_1,7.1,4,"Files shall have a Suspects value of false(ISO 32000-1:2008, Table 321)",Suspects != true,Suspects entry has a value of true,"This PDF is flagged as having potentially incomplete or incorrect accessibility tagging. This warning indicates the document may have been modified after its accessibility features were created, meaning assistive technologies might encounter unexpected errors or missing information when trying to help users with disabilities access the content."
ISO_14289_1-7.1.5,SENonStandard,structure,ISO_14289_1,7.1,5,"All non-standard structure types shall be mapped to the nearest functionally equivalent standard type, as defined in ISO 32000-1:2008, 14.8.4, in the role map dictionary of the structure tree root. This mapping may be indirect; within the role map a non-standard type can map directly to another non-standard type, but eventually the mapping shall terminate at a standard type",isNotMappedToStandardType == false,Non-standard structure type %1 is not mapped to a standard type,"This PDF uses a custom label for organizing content that hasn't been connected to a standard type that assistive technologies understand. Without this connection, screen readers won't know how to interpret or announce this element, leaving users with disabilities unable to understand its purpose or navigate it properly."
ISO_14289_1-7.1.6,PDStructElem,structure,ISO_14289_1,7.1,6,A circular mapping shall not exist,circularMappingExist != true,A circular mapping exists for %1 structure type,"This PDF has a structural labeling error where a content type points back to itself in an endless loop. This circular reference will prevent assistive technologies from understanding what type of content this is, causing them to fail or behave unpredictably when users with disabilities try to access this part of the document."
ISO_14289_1-7.1.7,PDStructElem,structure,ISO_14289_1,7.1,7,"Standard tags defined in ISO 32000-1:2008, 14.8.4, shall not be remapped",remappedStandardType == null,Standard type %1 is remapped,"This PDF has incorrectly redefined a standard content label that assistive technologies rely on. By changing what a standard label means, screen readers and other accessibility tools will misinterpret the content's structure, potentially announcing headings as paragraphs or lists as tables, creating confusion for users with disabilities."
ISO_14289_1-7.1.8,PDDocument,metadata,ISO_14289_1,7.1,8,"The Catalog dictionary of a conforming file shall contain the Metadata key whose value is a metadata stream as defined in ISO 32000-1:2008, 14.3.2. The metadata stream dictionary shall contain entry Type with value /Metadata and entry Subtype with value /XML",containsMetadata == true,The document catalog dictionary doesn't contain metadata key or metadata stream dictionary does not contain either entry Type with value /Metadata or entry Subtype with value /XML,"This PDF is missing essential information about the document itself (like title, author, and accessibility features) or this information isn't stored in the correct format. Without proper metadata, assistive technologies can't provide users with disabilities important context about the document before they begin reading it."
ISO_14289_1-7.1.9,MainXMPPackage,metadata,ISO_14289_1,7.1,9,"The Metadata stream in the document's catalog dictionary shall contain a dc:title entry, where dc is the recommended prefix for the Dublin Core metadata schema as defined in the XMP specification, which clearly identifies the document",dc_title != null,Metadata stream does not contain dc:title,"This PDF is missing a document title in its metadata. Without a title, assistive technologies can't announce what document users are opening, forcing people with visual impairments to guess the content or rely solely on the filename, which may not be descriptive or meaningful."
ISO_14289_1-7.1.10,CosDocument,syntax,ISO_14289_1,7.1,10,"The document catalog dictionary shall include a ViewerPreferences dictionary containing a DisplayDocTitle key, whose value shall be true",DisplayDocTitle == true,"ViewerPreferences dictionary is not present in the document Catalog, or DisplayDocTitle key is set to false or is not present in the ViewerPreferences dictionary (ViewerPreferences = %1, DisplayDocTitle = %2)","This PDF isn't configured to display its title in the window or tab bar, showing the filename instead. This makes it harder for users with disabilities to identify and switch between open documents, especially when using screen readers that announce window titles for navigation."
ISO_14289_1-7.1.11,PDDocument,structure,ISO_14289_1,7.1,11,"The logical structure of the conforming file shall be described by a structure hierarchy rooted in the StructTreeRoot entry of the document catalog dictionary, as described in ISO 32000-1:2008, 14.7",containsStructTreeRoot == true,StructTreeRoot entry is not present in the document catalog,"This PDF is missing the organizational framework that defines how its content is structured (like headings, paragraphs, lists, and tables). Without this structure, screen readers can only read the document as unorganized text in visual order, making it nearly impossible for users with visual impairments to navigate or understand the content properly."
ISO_14289_1-7.1.12,PDStructElem,structure,ISO_14289_1,7.1,12,"A structure element dictionary shall contain the P (parent) entry according to ISO 32000-1:2008, 14.7.2, Table 355",containsParent == true,A structure element dictionary does not contain the P (parent) entry,"This PDF has a structural element that doesn't specify what it belongs to in the document hierarchy. Without this parent relationship, assistive technologies can't understand how this content fits into the overall structure, potentially causing navigation errors or skipping content when users with disabilities try to move through the document."
ISO_14289_1-7.2.2,PDOutline,lang,ISO_14289_1,7.2,2,Natural language in the Outline entries shall be determined,gContainsCatalogLang == true,Natural language in the Outline entries cannot be determined,"The bookmarks in this PDF don't specify what language they're written in. Without language information, screen readers may pronounce the bookmark text incorrectly or use the wrong pronunciation rules, making navigation confusing or unintelligible for users with visual impairments."
ISO_14289_1-7.2.3,SETable,"structure,table",ISO_14289_1,7.2,3,"Table element may contain only TR, THead, TBody, TFoot and Caption elements",kidsStandardTypes.split('&').filter(elem => elem != 'TR' && elem != 'THead' && elem != 'TBody' && elem != 'TFoot' && elem != 'Caption').length == 0 || kidsStandardTypes == '',"Table element contains %1 element(s) instead of TR, THead, TBode, TFoot or Caption","This table contains elements that don't belong in a properly structured table. Screen readers expect tables to only have rows, headers, body sections, footers, and captions—anything else will confuse the assistive technology, making it difficult or impossible for users with disabilities to understand the table's data and organization."
ISO_14289_1-7.2.4,SETR,"structure,table",ISO_14289_1,7.2,4,"TR element should be contained in Table, THead, TBody or TFoot element",/^(Table|THead|TBody|TFoot)$/.test(parentStandardType),"TR element contained in %1 instead of Table, THead, TBody or TFoot element","A table row is placed outside of its proper table container. This is like having a row of data floating without being part of an actual table, which confuses screen readers and prevents them from announcing the row's relationship to other data, making the information incomprehensible to users with visual impairments."
ISO_14289_1-7.2.5,SETHead,"structure,table",ISO_14289_1,7.2,5,THead element should be contained in Table element,parentStandardType == 'Table',THead element contained in %1 instead of Table element,"The table header section is placed outside of its table. Without the header being properly nested within the table structure, screen readers can't identify which rows contain column headings, making it extremely difficult for users with disabilities to understand what each column of data represents."
ISO_14289_1-7.2.6,SETBody,"structure,table",ISO_14289_1,7.2,6,TBody element should be contained in Table element,parentStandardType == 'Table',TBody element contained in %1 instead of Table element,"The table body section is placed outside of its table. This structural error prevents screen readers from recognizing this as part of a table, so users with disabilities won't be able to navigate the data properly or understand its relationship to table headers and other rows."
ISO_14289_1-7.2.7,SETFoot,"structure,table",ISO_14289_1,7.2,7,TFoot element should be contained in Table element,parentStandardType == 'Table',TFoot element contained in %1 instead of Table element,"The table footer section is placed outside of its table. Without proper nesting, screen readers can't identify this as the table's footer information (like totals or summaries), preventing users with disabilities from understanding the complete context and structure of the table data."
ISO_14289_1-7.2.8,SETH,"structure,table",ISO_14289_1,7.2,8,TH element should be contained in TR element,parentStandardType == 'TR',TH element contained in %1 instead of TR element,"A table header cell is placed outside of a table row. This breaks the table structure, preventing screen readers from properly associating the header with its data and announcing row/column positions, making it impossible for users with disabilities to navigate and understand the table's organization."
ISO_14289_1-7.2.9,SETD,"structure,table",ISO_14289_1,7.2,9,TD element should be contained in TR element,parentStandardType == 'TR',TD element contained in %1 instead of TR element,"A table data cell is placed outside of a table row. Without being properly contained in a row, screen readers can't announce which row and column the data belongs to, leaving users with disabilities unable to understand the data's position or relationship to headers and other cells."
ISO_14289_1-7.2.10,SETR,"structure,table",ISO_14289_1,7.2,10,TR element may contain only TH and TD elements,/^(TH|TD)(&(TH|TD))*$/.test(kidsStandardTypes) || kidsStandardTypes == '',TR element contains %1 element(s) instead of TH or TD,"This table row contains elements other than header or data cells. Screen readers expect rows to only contain cells—anything else disrupts the table structure, preventing users with disabilities from navigating between cells or understanding which content belongs in the table versus outside it."
ISO_14289_1-7.2.11,SETable,"structure,table",ISO_14289_1,7.2,11,Table element should contain zero or one THead kid,kidsStandardTypes.split('&').filter(elem => elem == 'THead').length <= 1,Table element contains more than one THead kid,"This table has multiple header sections when it should have only one. Having more than one header confuses screen readers about which row contains the actual column headings, making it difficult for users with disabilities to understand what each column represents or navigate the table correctly."
