"rule_id","object","tags","specification","clause","test_number","description","test","message","user_friendly_message","user_friendly_fix"
"ISO_14289_1-5.1","MainXMPPackage","metadata","ISO_14289_1","5",1,"The PDF/UA version and conformance level of a file shall be specified using the PDF/UA Identification extension schema","containsPDFUAIdentification == true","The document metadata stream doesn't contain PDF/UA Identification Schema","This PDF is missing a special label that tells assistive technologies (like screen readers) that it's designed to be accessible. Without this identification, accessibility tools may not know to treat the document as accessible, which could result in a poor experience for people with disabilities who rely on these features.","Add `pdf-engine-opt: [""--pdf-a""]` or similar accessibility-related options to your Quarto YAML front matter to enable PDF/UA compliance metadata. The exact option name may vary by PDF engine (LaTeX vs Typst), so check your engine's documentation for the correct flag to enable PDF/UA or PDF/A standards. If your PDF engine doesn't automatically include this metadata, you may need to configure additional accessibility settings in the PDF engine's configuration files."
"ISO_14289_1-5.2","PDFUAIdentification","metadata","ISO_14289_1","5",2,"The value of ""pdfuaid:part"" shall be the part number of the International Standard to which the file conforms","part == 1","The ""part"" property of the PDF/UA Identification Schema is %1 instead of 1 for PDF/UA-1 conforming file","This PDF claims to follow an unrecognized version of the accessibility standard. It should be marked as following PDF/UA-1 (the current standard), but it's labeled with a different version number, which means accessibility tools may not be able to properly interpret and present the document's content to users with disabilities.","This issue indicates that the PDF/UA version metadata is set incorrectly in your document. In your Quarto YAML front matter, ensure you're specifying PDF/UA-1 compliance (not a different version) in your accessibility or PDF engine options. This may require adjusting PDF engine-specific configuration settings to explicitly request PDF/UA-1 conformance rather than other PDF standard versions."
"ISO_14289_1-5.3","PDFUAIdentification","metadata","ISO_14289_1","5",3,"Property ""part"" of the PDF/UA Identification Schema shall have namespace prefix ""pdfuaid""","partPrefix == null || partPrefix == ""pdfuaid""","Property ""part"" of the PDF/UA Identification Schema has invalid namespace prefix %1","The accessibility label in this PDF uses the wrong formatting code, making it unreadable to assistive technologies. This is like writing an address with the wrong format—the information might be there, but systems can't find or use it properly to help people with disabilities access the content.","This is an internal metadata formatting error that occurs during PDF generation and cannot be fixed directly in your Quarto source file or YAML configuration. You'll need to configure the PDF engine's accessibility settings to ensure it uses the correct namespace prefix format for PDF/UA metadata, which may require updating your PDF engine version or adjusting engine-specific accessibility configuration files."
"ISO_14289_1-5.4","PDFUAIdentification","metadata","ISO_14289_1","5",4,"Property ""amd"" of the PDF/UA Identification Schema shall have namespace prefix ""pdfuaid""","amdPrefix == null || amdPrefix == ""pdfuaid""","Property ""amd"" of the PDF/UA Identification Schema has invalid namespace prefix %1","The accessibility amendment information in this PDF is labeled incorrectly, preventing assistive technologies from understanding which version of the accessibility standard the document follows. This formatting error means accessibility tools may not apply the correct rules when helping users with disabilities navigate the content.","This is an internal metadata formatting error that occurs during PDF generation and cannot be fixed directly in your Quarto source file or YAML configuration. You'll need to configure the PDF engine's accessibility settings to ensure it uses the correct namespace prefix format for PDF/UA amendment metadata, which may require updating your PDF engine version or adjusting engine-specific accessibility configuration files."
"ISO_14289_1-5.5","PDFUAIdentification","metadata","ISO_14289_1","5",5,"Property ""corr"" of the PDF/UA Identification Schema shall have namespace prefix ""pdfuaid""","corrPrefix == null || corrPrefix == ""pdfuaid""","Property ""corr"" of the PDF/UA Identification Schema has invalid namespace prefix %1","The accessibility correction information in this PDF is formatted incorrectly, which prevents assistive technologies from properly identifying the specific accessibility standard version being used. This mislabeling could cause accessibility tools to misinterpret how to best present the document to users with disabilities.","This is an internal metadata formatting error that occurs during PDF generation and cannot be fixed directly in your Quarto source file or YAML configuration. You'll need to configure the PDF engine's accessibility settings to ensure it uses the correct namespace prefix format for PDF/UA correction metadata, which may require updating your PDF engine version or adjusting engine-specific accessibility configuration files."
"ISO_14289_1-6.1.1","CosDocument","syntax","ISO_14289_1","6.1",1,"The file header shall consist of ""%PDF-1.n"" followed by a single EOL marker, where 'n' is a single digit number between 0 (30h) and 7 (37h)","/^%PDF-1\.[0-7]$/.test(header)","File header %1 does not match the pattern %PDF-1.n, where 'n' is a single digit number between 0 and 7","This file's opening identifier is improperly formatted or uses an unsupported PDF version. Like a book with a damaged cover, assistive technologies may not recognize this as a valid PDF document, preventing users with disabilities from accessing any of its content.","This is a low-level PDF file format error that occurs during PDF generation and cannot be fixed in your Quarto source file or YAML configuration. The issue likely indicates a problem with your PDF engine installation or version—try updating your PDF engine to the latest version, or if the problem persists, switch to a different PDF engine (LaTeX or Typst) in your Quarto configuration."
"ISO_14289_1-6.2.1","CosDocument","syntax","ISO_14289_1","6.2",1,"The document catalog dictionary shall include a MarkInfo dictionary containing an entry, Marked, whose value shall be true","Marked == true","MarkInfo dictionary is not present in the document catalog, or Marked entry is set to false or is not present in the MarkInfo dictionary (MarkInfo = %1, Marked = %2)","This PDF is missing essential markers that tell assistive technologies how the content is structured (like headings, paragraphs, and lists). Without these markers, screen readers and other accessibility tools can't properly navigate or read the document aloud, making it extremely difficult for people with visual impairments to use.","Add `pdf-engine-opt` settings to your Quarto YAML front matter to enable tagged PDF output, which creates the structural markers needed for accessibility. The specific option varies by engine—for LaTeX-based engines, this typically involves enabling tagged PDF mode, while Typst may require accessibility flags. If Quarto doesn't provide a direct option, you may need to add engine-specific configuration to enable PDF tagging in your PDF engine's settings."
"ISO_14289_1-7.1.1","SEMarkedContent","artifact","ISO_14289_1","7.1",1,"Content marked as Artifact should not be present inside tagged content","tag != 'Artifact' || isTaggedContent == false","Content marked as Artifact is present inside tagged content (parent struct element %1)","This PDF has decorative elements (like background images or design flourishes) incorrectly mixed in with the actual content structure. This confuses screen readers, which may announce these decorative items as if they were important content, creating a cluttered and confusing experience for users with visual impairments.","Review your document for decorative elements (images, borders, watermarks, or design elements) that are embedded within content blocks like paragraphs or headings. Move these decorative elements outside of the main content structure, or if they're added through custom templates or includes, ensure they're placed in document margins or headers/footers rather than inline with text. If decorative elements are essential to your layout, they may need to be configured differently in your PDF engine's template settings."
"ISO_14289_1-7.1.2","SEMarkedContent","artifact","ISO_14289_1","7.1",2,"Tagged content should not be present inside content marked as Artifact","isTaggedContent == false || parentsTags.contains('Artifact') == false","Tagged content (parent struct element %1) is present inside content marked as Artifact","This PDF has important content incorrectly labeled as decorative background elements. Screen readers will skip over this content entirely, meaning users with visual impairments won't hear or access information that should be available to them.","Review your document for content that should be accessible but may be placed in page headers, footers, or margin areas where it's being treated as decorative. Move any meaningful text, images with information, or navigational elements into the main document body. If you're using custom templates or page decoration features, ensure that actual content isn't included in those decorative sections."
"ISO_14289_1-7.1.3","SESimpleContentItem","artifact","ISO_14289_1","7.1",3,"Content shall be marked as Artifact or tagged as real content","isTaggedContent == true || parentsTags.contains('Artifact') == true","Content is neither marked as Artifact nor tagged as real content","This PDF contains content that isn't labeled as either meaningful information or decorative background. Without proper labeling, assistive technologies can't determine whether to present this content to users with disabilities, potentially causing them to miss important information or hear confusing, out-of-context fragments.","Ensure all content in your Quarto document is either part of the standard document structure (headings, paragraphs, lists, images, tables) or explicitly marked as decorative. Avoid using raw PDF commands or low-level formatting that bypasses Quarto's content structure. If you have custom content blocks or advanced layouts, this issue may require configuring your PDF engine to properly tag all document elements."
